合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
棉花 (CF209),17485,18535/16435,7%,7%,6119.75元,4.3元,4.3元,0元,25,4.3元,20.7,,0.3382%
天然橡胶 (ru2203),13905,15015/12790,10%,10%,13905元,3元,3元,0元,50,3元,47,,0.3380%
天然橡胶 (ru2204),13935,15045/12820,10%,10%,13935元,3元,3元,0元,50,3元,47,,0.3373%
天然橡胶 (ru2205),13960,15075/12840,10%,10%,13960元,3元,3元,0元,50,3元,47,,0.3367%
天然橡胶 (ru2207),13975,15090/12855,10%,10%,13975元,3元,3元,0元,50,3元,47,,0.3363%
天然橡胶 (ru2206),14035,15155/12910,10%,10%,14035元,3元,3元,0元,50,3元,47,,0.3349%
天然橡胶 (ru2208),14115,15240/12985,10%,10%,14115元,3元,3元,0元,50,3元,47,,0.3330%
天然橡胶 (ru2209),14150,15280/13015,10%,10%,14150元,3元,3元,0元,50,3元,47,,0.3322%
豆粕 (m2112),3695,3953/3437,8%,8%,2956元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3315%
红枣 (CJ209),14520,15540/13500,8%,8%,5808元,3元,3元,3元,25,6元,19,,0.3271%
黄玉米 (c2201),2448,2619/2277,11%,11%,2692.8元,1.2元,1.2元,0元,10,1.2元,8.8,主力合约,0.3268%
豆粕 (m2205),3252,3479/3025,8%,8%,2601.6元,1.5元,1.5元,0元,10,1.5元,8.5,,0.3267%
燃料油 (fu2205),2670,2883/2456,10%,10%,2670元,0.5/万分之,0.5/万分之,0/万分之,10,1.3元,8.7,,0.3258%
燃料油 (fu2209),2670,2883/2456,10%,10%,2670元,0.5/万分之,0.5/万分之,0/万分之,10,1.3元,8.7,,0.3258%
豆粕 (m2209),3283,3512/3054,8%,8%,2626.4元,1.5元,1.5元,0元,10,1.5元,8.5,,0.3236%
豆粕 (m2111),3799,4064/3534,8%,8%,3039.2元,0.2元,0.2元,0元,10,0.2元,9.8,,0.3225%
黄玉米 (c2205),2496,2670/2322,11%,11%,2745.6元,1.2元,1.2元,0元,10,1.2元,8.8,,0.3205%
黄玉米 (c2209),2517,2693/2341,11%,11%,2768.7元,1.2元,1.2元,0元,10,1.2元,8.8,,0.3178%
燃料油 (fu2201),2773,2994/2551,10%,10%,2773元,0.5/万分之,0.5/万分之,0/万分之,10,1.4元,8.6,主力合约,0.3101%
线型低密度聚乙烯 (l2106),7535,8060/7010,20%,20%,7535元,1元,1元,1元,25,2元,23,,0.3052%
